CNT,SUBJECT,,COEF,COUNT,MEANESCS,MEANSCORE,RSQURED
Argentina,MATH,0,30.626587818,29540,-0.703489376749,388.431709907,0.189910190836
Argentina,READ,0,34.6166632299,29540,-0.703489376749,395.979122702,0.154651818353
Argentina,SCIE,0,33.8629695187,29540,-0.703489376749,405.632004986,0.187393418265
Australia,MATH,0,46.4876433114,72405,0.243402621189,504.150766311,0.14957504019
Australia,READ,0,45.4434886847,72405,0.243402621189,511.803997667,0.139639089979
Australia,SCIE,0,47.2062365454,72405,0.243402621189,521.494746315,0.141055246453
Austria,MATH,0,40.1540837816,23775,0.0746380091874,505.54074325,0.136764731976
Austria,READ,0,40.1305599132,23775,0.0746380091874,489.609335384,0.138648259876
Austria,SCIE,0,43.7236716,23775,0.0746380091874,505.781247068,0.164416358429
Belgium,MATH,0,41.1895942694,42985,0.14183199909,514.745238583,0.138111447244
Belgium,READ,0,40.8843282037,42985,0.14183199909,509.108048529,0.136287760845
Belgium,SCIE,0,39.4241345052,42985,0.14183199909,505.457458843,0.129913255799
Brazil,MATH,0,25.6717800616,96020,-1.19651736859,388.508963338,0.154847330408
Brazil,READ,0,23.9094670914,96020,-1.19651736859,406.533157797,0.112271853268
Brazil,SCIE,0,23.6486443821,96020,-1.19651736859,401.619684839,0.129744822902
Bulgaria,MATH,0,41.8258822937,26410,-0.270775765075,438.738259877,0.213056366946
Bulgaria,READ,0,51.3252146846,26410,-0.270775765075,436.125725279,0.206400511847
Bulgaria,SCIE,0,46.4306583286,26410,-0.270775765075,446.468709376,0.223868763135
Canada,MATH,0,31.3402603416,107720,0.402762701289,518.070399596,0.0938336316113
Canada,READ,0,29.533793022,107720,0.402762701289,523.124002967,0.0756764551787
Canada,SCIE,0,28.7042445502,107720,0.402762701289,525.441292143,0.0733602493357
Chile,MATH,0,40.1483028619,34280,-0.570234564391,422.632355406,0.330171286845
Chile,READ,0,35.0438385814,34280,-0.570234564391,441.398163345,0.290873982125
Chile,SCIE,0,36.5882906918,34280,-0.570234564391,444.933919695,0.287232859407
China-Shanghai,MATH,0,41.1401818881,25885,-0.360537913773,612.675536305,0.154912669361
China-Shanghai,READ,0,32.7902869512,25885,-0.360537913773,569.588407749,0.159017975167
China-Shanghai,SCIE,0,33.4462095682,25885,-0.360537913773,580.117830848,0.157125243253
Chinese Taipei,MATH,0,56.6204502135,30230,-0.398148557826,559.824796202,0.174112029376
Chinese Taipei,READ,0,41.6931288414,30230,-0.398148557826,523.118903908,0.150303726723
Chinese Taipei,SCIE,0,39.7501513221,30230,-0.398148557826,523.314904451,0.16462501654
Colombia,MATH,0,27.2544842052,45365,-1.25495162956,376.488601073,0.167935307356
Colombia,READ,0,27.9295373535,45365,-1.25495162956,403.402534102,0.150037615373
Colombia,SCIE,0,25.2531641653,45365,-1.25495162956,398.678631616,0.13959487674
Connecticut (USA),MATH,0,50.6130588302,8485,0.480523378121,505.775264872,0.220148223344
Connecticut (USA),READ,0,48.3300345498,8485,0.480523378121,521.248559061,0.204511966766
Connecticut (USA),SCIE,0,46.7471569131,8485,0.480523378121,520.760148398,0.192561003456
Costa Rica,MATH,0,22.4473291324,23010,-0.972012943626,406.999866989,0.168365313922
Costa Rica,READ,0,21.5359742239,23010,-0.972012943626,440.54781067,0.132840310439
Costa Rica,SCIE,0,21.6100618625,23010,-0.972012943626,429.350967542,0.146406588865
Croatia,MATH,0,34.5391673099,25040,-0.337243298399,471.131460759,0.113225343939
Croatia,READ,0,32.3972605174,25040,-0.337243298399,484.565032126,0.105042835837
Croatia,SCIE,0,30.3561746788,25040,-0.337243298399,491.356582834,0.0931428061773
Czech Republic,MATH,0,55.1391056159,26635,-0.0654310723823,498.957882318,0.189798207489
Czech Republic,READ,0,49.113712017,26635,-0.0654310723823,492.889738211,0.174851695583
Czech Republic,SCIE,0,48.6241382188,26635,-0.0654310723823,508.299079354,0.168729100038
Denmark,MATH,0,39.1910881068,37405,0.418960839453,500.026756625,0.175118636315
Denmark,READ,0,37.5583983737,37405,0.418960839453,496.130881384,0.153857397187
Denmark,SCIE,0,43.3876304677,37405,0.418960839453,498.474201429,0.170627215255
Estonia,MATH,0,29.7273857818,23895,0.110485930366,520.545521677,0.0874746311727
Estonia,READ,0,26.1945048428,23895,0.110485930366,516.294184313,0.0690417600547
